Modelo 1,Modelo 2,Modelo 3,Modelo 4
-3125467.30486554,-2828628.99390451,-3077799.82234495,-3077960.66648045
-3125518.09727369,-2828632.4906245,-3077878.07359892,-3078140.91310809
-3124880.17270601,-2828627.98532313,-3077527.01097448,-3077810.82011991
-3124988.90228447,-2828627.42878466,-3077708.49299953,-3078110.4567538
-3125716.18032301,-2828630.06030663,-3077882.4870078,-3077749.15331349
-3125690.55301871,-2828624.12223692,-3077759.12653219,-3078063.89178958
-3125208.37710112,-2828625.54197781,-3077931.17398102,-3077628.77335277
-3125575.17119266,-2828625.27863076,-3077731.3012434,-3078353.07635577
-3125219.90594039,-2828633.95827668,-3078799.96646032,-3077677.31653331
-3125114.08443777,-2828644.24201718,-3078055.22116215,-3077615.19017447
-3124803.86713516,-2828627.14326816,-3078174.83794964,-3077137.97828062
-3125163.90636082,-2828621.06551277,-3078224.88624509,-3077750.69791033
-3125676.17709463,-2828638.53811624,-3077705.07542016,-3077000.75230794
-3125123.56737771,-2828630.43154124,-3077988.83833249,-3077282.36992554
-3124991.14102578,-2828633.96971357,-3077161.83100485,-3078010.35633655
-3125455.6445017,-2828631.59608739,-3076950.85005256,-3077191.07599182
-3124721.42791192,-2828623.65515914,-3077476.1753514,-3078171.95117003
-3124930.05537686,-2828638.78120633,-3077281.51404985,-3078143.33269298
-3126062.52679202,-2828625.63571752,-3078186.29415837,-3077891.39633252
-3125133.35758697,-2828636.90894823,-3077758.92672675,-3078244.53619828
-3125043.62025685,-2828630.32754852,-3077644.60707283,-3077954.45534282
-3125641.83195731,-2828623.3941911,-3078602.58498232,-3078004.55354184
-3125927.86090027,-2828628.4570029,-3077698.32378892,-3077646.83396889
-3125919.92100403,-2828622.40594868,-3078451.33354032,-3078552.76360532
-3126083.0589118,-2828626.91705486,-3077763.43399028,-3077872.21963797
-3125149.45021834,-2828635.90233008,-3078192.41592833,-3077535.5605488
-3125799.09047469,-2828627.10588578,-3078485.46816531,-3077816.35740965
-3126301.21484804,-2828628.43816115,-3077822.21819725,-3078312.20562716
-3125405.33623393,-2828633.96209253,-3078257.33883646,-3077077.27553129
-3124807.1430498,-2828634.16074072,-3077436.41476363,-3077408.06859281
-3125726.86239348,-2828632.33598903,-3078624.67406772,-3077632.5906486
-3125694.79665308,-2828625.99444645,-3077679.14085996,-3078692.78220821
-3125344.5883148,-2828633.76840962,-3077853.39193057,-3076806.17321444
-3125585.48438375,-2828641.45143419,-3077498.12488002,-3077693.99407005
-3125195.93822672,-2828627.63197599,-3078019.55646956,-3078190.4512838
-3125451.31701127,-2828621.60729226,-3078025.84797103,-3077457.57466053
-3125370.99296572,-2828635.90714288,-3077341.75597541,-3077985.99490007
-3125315.99804206,-2828624.23926557,-3077574.48011523,-3077942.14540009
-3125243.64479016,-2828631.92403468,-3077099.01321403,-3077008.68577517
-3124826.53753337,-2828624.00633591,-3077175.69267645,-3076792.18815488
-3125391.85038519,-2828618.20449358,-3078125.54818626,-3077949.71479173
-3125882.48729043,-2828629.01539904,-3077369.70269254,-3078197.04624037
-3125467.85959261,-2828637.49031707,-3077844.68164781,-3078277.57504331
-3125471.66319779,-2828620.15896932,-3077418.18703089,-3077327.01731462
-3124718.08605106,-2828629.57770943,-3077531.68749575,-3077677.21978347
-3125556.63507125,-2828627.61793211,-3077662.99240536,-3077985.85163538
-3125518.12261654,-2828632.47538092,-3077834.98869615,-3077888.55758372
-3125761.32989817,-2828638.15153128,-3078014.71823119,-3077049.42199772
-3124694.05290167,-2828647.4914998,-3077658.10159937,-3077342.8065791
-3125514.45163472,-2828629.68686885,-3077574.51340378,-3077464.46984222
-3125114.23052263,-2828621.40208548,-3078089.23125001,-3079121.11857987
-3125570.73924729,-2828628.47901483,-3077211.86262602,-3077226.34105174
-3125374.1153388,-2828629.59621739,-3077717.95731064,-3077464.7958554
-3124216.50906339,-2828630.92112794,-3077897.4726672,-3077646.75168381
-3125570.28848729,-2828632.90072601,-3077016.21926454,-3078410.20362082
-3125917.04548268,-2828620.84874162,-3078521.51948605,-3077516.03879754
-3125211.39290887,-2828628.90555114,-3078095.67002869,-3077971.49335158
-3123947.6853885,-2828622.23304565,-3077660.00051081,-3078263.61039544
-3125370.59595527,-2828617.46348692,-3077198.32388763,-3078666.70914242
