"","COLE_COD_MCPIO_UBICACION","media","ppp","No. Estudiantes"
"1",5001,250.884605461984,1,27133
"2",5002,254.629834254144,0.03442,181
"3",5004,233.888888888889,0.8858,18
"4",5021,227.8125,0.97962,48
"5",5030,233.397394136808,0.9923,307
"6",5031,233.141221374046,0.99968,262
"7",5034,251.625,0.15058,424
"8",5036,209.033333333333,0.99578,60
"9",5038,204.268656716418,0.9642,134
"10",5040,192.342281879195,0.99998,447
"11",5042,230.025641025641,0.99994,273
"12",5044,221.854838709677,0.30202,62
"13",5045,236.986070806732,1,1723
"14",5051,212.920833333333,1,480
"15",5055,225.811594202899,0.69008,69
"16",5059,250.627906976744,0.62822,43
"17",5079,235.56890459364,0.99968,566
"18",5086,228.023529411765,0.96974,85
"19",5088,252.818554396423,0.99998,5368
"20",5091,224.59649122807,0.5775,57
"21",5093,213.236842105263,0.99964,190
"22",5101,243.662601626016,0.99818,246
"23",5107,224.292682926829,0.35294,41
"24",5113,223.25641025641,0.98412,78
"25",5120,212.313432835821,0.99976,335
"26",5125,209.791666666667,0.9796,144
"27",5129,256.842652795839,0.99988,769
"28",5134,224.506024096386,0.99468,83
"29",5138,224.52358490566,0.9997,212
"30",5142,230.085714285714,0.74232,35
"31",5145,228.462686567164,0.99426,67
"32",5147,232.679509632224,0.99996,571
"33",5148,266.732168850073,0.00014,687
"34",5150,230.674418604651,0.63816,43
"35",5154,243.777317880795,1,1208
"36",5172,228.688227684347,0.99992,773
"37",5190,240.736842105263,0.66254,95
"38",5197,248.846666666667,0.51084,150
"39",5206,224.8,0.92406,35
"40",5209,216.995238095238,0.99988,210
"41",5212,263.995884773663,0.01596,972
"42",5234,212.85546875,0.99986,256
"43",5237,241.851674641148,0.99744,209
"44",5240,227.537735849057,0.9971,106
"45",5250,214.679319371728,0.99998,764
"46",5264,260.223140495868,0.98482,121
"47",5266,282.816955684008,2e-05,2076
"48",5282,239,0.98954,168
"49",5284,238.573913043478,0.9946,230
"50",5306,217.01724137931,0.99416,58
"51",5308,251.779578606159,0.99998,617
"52",5310,244.123456790123,0.9262,81
"53",5313,244.225,0.33362,80
"54",5315,246.033333333333,0.97594,60
"55",5318,254.01179245283,0.00042,424
"56",5321,255.5,0.17322,108
"57",5347,237.0625,0.96252,48
"58",5353,248.414634146341,0.36772,41
"59",5360,261.899564902103,0.00022,2758
"60",5361,208.382352941176,0.99976,238
"61",5364,248.171974522293,0.99682,157
"62",5368,246.845161290323,0.99018,155
"63",5376,268.825301204819,0.18292,664
"64",5380,271.335607094134,0,733
"65",5390,240.581081081081,0.99292,74
"66",5400,254.885375494071,0.99916,253
"67",5411,228.745901639344,0.99974,122
"68",5425,240.428571428571,0.8603,91
"69",5440,262.659210526316,0.64514,760
"70",5467,231.391891891892,0.31414,74
"71",5475,191.666666666667,0.3326,9
"72",5480,213.135714285714,0.99986,140
"73",5483,227.43023255814,0.98304,86
"74",5490,209.157216494845,0.99998,776
"75",5495,214.824120603015,0.99936,199
"76",5501,245.9,0.54502,30
"77",5541,237.004048582996,0.99498,247
"78",5543,223.486842105263,0.89638,76
"79",5576,237.384615384615,0.99536,104
"80",5579,219.993258426966,0.99996,445
"81",5585,216.780487804878,0.99968,123
"82",5591,244.086419753086,0.8122,162
"83",5604,209.3,0.99996,370
"84",5607,268.02371541502,0.9995,253
"85",5615,263.900452488688,0.04494,1547
"86",5628,218.435897435897,0.99416,78
"87",5631,278.621727748691,0,764
"88",5642,237.12962962963,0.79062,108
"89",5647,232.265625,0.74706,64
"90",5649,231.106382978723,0.97362,235
"91",5652,238.822222222222,0.30974,45
"92",5656,240.728571428571,0.84636,140
"93",5658,233.69696969697,0.66876,33
"94",5659,209.819852941176,0.9998,272
"95",5660,236.309352517986,0.999,139
"96",5664,250.860724233983,0.99948,359
"97",5665,224.393736017897,0.99998,447
"98",5667,245.462686567164,0.08122,134
"99",5670,223.792114695341,0.99996,279
"100",5674,243.380952380952,0.39636,210
"101",5679,242.918918918919,0.9962,222
"102",5686,261.291746641075,0.65358,521
"103",5690,239.443298969072,0.92414,194
"104",5697,243.755230125523,0.98244,478
"105",5736,215.820936639118,0.99994,363
"106",5756,235.04432132964,0.99954,361
"107",5761,223.955223880597,0.99974,201
"108",5789,239.120481927711,0.99976,166
"109",5790,222.580536912752,0.99996,298
"110",5792,245.30612244898,0.99906,49
"111",5809,232.033898305085,0.97834,59
"112",5819,209.734693877551,0.95974,49
"113",5837,214.411049723757,1,1810
"114",5842,222.83606557377,0.97466,61
"115",5847,222.370927318296,0.99996,399
"116",5854,234.117021276596,0.95298,94
"117",5856,234.5,0.12016,52
"118",5858,216.216494845361,0.99906,194
"119",5861,221.597122302158,0.99972,139
"120",5873,190.596774193548,0.97084,124
"121",5885,207.712121212121,0.99574,66
"122",5887,254.203592814371,0.98616,501
"123",5890,213.145328719723,0.99974,289
"124",5893,231.836879432624,0.98906,141
"125",5895,204.781512605042,0.99976,357
"126",8001,254.295692589683,1,15276
"127",8078,236.494236311239,0.99994,694
"128",8137,219.307359307359,0.99986,231
"129",8141,207.410256410256,0.99854,156
"130",8296,241.460344827586,0.99996,580
"131",8372,225.122340425532,0.99866,188
"132",8421,214.28527607362,0.99946,326
"133",8433,234.547854785479,1,1515
"134",8436,208.355555555556,0.9998,225
"135",8520,243.577142857143,0.99994,350
"136",8549,202.319444444444,0.98748,72
"137",8558,212.075675675676,0.999,185
"138",8560,212.131914893617,0.99992,235
"139",8573,264.028443113772,1,668
"140",8606,221.351351351351,0.99992,259
"141",8634,240.27806122449,0.99992,392
"142",8638,225.904132231405,1,1210
"143",8675,203.704347826087,0.9947,115
"144",8685,230.036363636364,1,220
"145",8758,241.958092087124,1,7254
"146",8770,235.942307692308,0.89186,104
"147",8832,219.670103092784,0.72378,97
"148",8849,222.646341463415,0.98948,82
"149",11001,270.510439692136,0.20002,75098
"150",13001,239.528872929796,1,13646
"151",13006,206.081699346405,0.99998,306
"152",13030,213.024691358025,0.68276,81
"153",13042,209.261261261261,0.99896,111
"154",13052,220.967032967033,1,1001
"155",13062,206.113636363636,0.99718,88
"156",13074,205.407608695652,0.99616,184
"157",13140,197.746478873239,0.99988,284
"158",13160,222.494117647059,0.99616,85
"159",13188,221.067901234568,0.99936,162
"160",13212,211.457286432161,0.99976,199
"161",13222,197.172185430464,0.99964,151
"162",13244,217.944444444444,1,990
"163",13248,219.572815533981,0.99988,103
"164",13268,221.958333333333,0.89948,72
"165",13300,207.6375,0.99974,160
"166",13430,230.146053449347,0.99998,1609
"167",13433,202.973684210526,0.99992,418
"168",13440,218.651162790698,0.99676,172
"169",13442,204.06239460371,1,593
"170",13458,208.446428571429,0.9647,56
"171",13468,219.215625,1,640
"172",13473,206.768558951965,0.99972,229
"173",13490,224.45,0.97532,40
"174",13549,203.244444444444,0.99948,315
"175",13580,188.462686567164,0.98936,67
"176",13600,208.333333333333,0.95466,84
"177",13620,201.156626506024,0.9245,83
"178",13647,199.536945812808,0.99982,203
"179",13650,209.336,0.997,125
"180",13654,238.649484536082,1,291
